"filename", "language", "JSON", "ArkTS", "XML", "JSON5", "comment", "blank", "total"
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\.omo\run-continuation\ses_08b2d0cb9ffe1WBChI2b0oe4jS.json", "JSON", 10, 0, 0, 0, 0, 0, 10
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\.omo\run-continuation\ses_08b3703ecfferBh3pwx3xX4vQs.json", "JSON", 10, 0, 0, 0, 0, 0, 10
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\code-linter.json5", "JSON5", 0, 0, 0, 4, 0, 0, 4
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\AppBootstrapPolicy.ets", "ArkTS", 0, 11, 0, 0, 4, 1, 16
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\AppStyles.ets", "ArkTS", 0, 309, 0, 0, 91, 57, 457
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\ApplicationTabPolicy.ets", "ArkTS", 0, 11, 0, 0, 0, 1, 12
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\BusinessPolicies.ets", "ArkTS", 0, 52, 0, 0, 6, 7, 65
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\FormValidators.ets", "ArkTS", 0, 78, 0, 0, 2, 9, 89
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\NavBar.ets", "ArkTS", 0, 60, 0, 0, 36, 8, 104
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\RecruiterResumeFilter.ets", "ArkTS", 0, 16, 0, 0, 0, 3, 19
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\Responsive.ets", "ArkTS", 0, 16, 0, 0, 2, 2, 20
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\common\StandardCard.ets", "ArkTS", 0, 37, 0, 0, 3, 6, 46
